Time,PixelLabelData,OriginalData
0.11833 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_3.png,Studies/015/RPS/anno/OriginalData/RPS_Label_3.png
0.30333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_7.png,Studies/015/RPS/anno/OriginalData/RPS_Label_7.png
1.495 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_29.png,Studies/015/RPS/anno/OriginalData/RPS_Label_29.png
1.7583 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_34.png,Studies/015/RPS/anno/OriginalData/RPS_Label_34.png
2.1333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_41.png,Studies/015/RPS/anno/OriginalData/RPS_Label_41.png
2.19 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_42.png,Studies/015/RPS/anno/OriginalData/RPS_Label_42.png
2.3 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_44.png,Studies/015/RPS/anno/OriginalData/RPS_Label_44.png
2.35 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_45.png,Studies/015/RPS/anno/OriginalData/RPS_Label_45.png
2.62 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_50.png,Studies/015/RPS/anno/OriginalData/RPS_Label_50.png
0.17167 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_5.png,Studies/015/RPT/anno/OriginalData/RPT_Label_5.png
0.54167 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_12.png,Studies/015/RPT/anno/OriginalData/RPT_Label_12.png
2.4217 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_47.png,Studies/015/RPT/anno/OriginalData/RPT_Label_47.png
2.9067 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_56.png,Studies/015/RPT/anno/OriginalData/RPT_Label_56.png
0.096667 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_3.png,Studies/015/RAS/anno/OriginalData/RAS_Label_3.png
0.34 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_7.png,Studies/015/RAS/anno/OriginalData/RAS_Label_7.png
1.5233 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_29.png,Studies/015/RAS/anno/OriginalData/RAS_Label_29.png
1.79 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_34.png,Studies/015/RAS/anno/OriginalData/RAS_Label_34.png
2.3817 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_45.png,Studies/015/RAS/anno/OriginalData/RAS_Label_45.png
2.4883 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_47.png,Studies/015/RAS/anno/OriginalData/RAS_Label_47.png
2.7 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_51.png,Studies/015/RAS/anno/OriginalData/RAS_Label_51.png
2.76 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_52.png,Studies/015/RAS/anno/OriginalData/RAS_Label_52.png
3.0267 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_57.png,Studies/015/RAS/anno/OriginalData/RAS_Label_57.png
4.8517 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_91.png,Studies/015/RAS/anno/OriginalData/RAS_Label_91.png
5.0667 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_95.png,Studies/015/RAS/anno/OriginalData/RAS_Label_95.png
5.87 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_110.png,Studies/015/RAS/anno/OriginalData/RAS_Label_110.png
6.0317 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_113.png,Studies/015/RAS/anno/OriginalData/RAS_Label_113.png
6.085 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_114.png,Studies/015/RAS/anno/OriginalData/RAS_Label_114.png
6.14 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_115.png,Studies/015/RAS/anno/OriginalData/RAS_Label_115.png
6.3533 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_119.png,Studies/015/RAS/anno/OriginalData/RAS_Label_119.png
6.4083 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_120.png,Studies/015/RAS/anno/OriginalData/RAS_Label_120.png
6.6233 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_124.png,Studies/015/RAS/anno/OriginalData/RAS_Label_124.png
6.7333 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_126.png,Studies/015/RAS/anno/OriginalData/RAS_Label_126.png
6.7867 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_127.png,Studies/015/RAS/anno/OriginalData/RAS_Label_127.png
6.8367 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_128.png,Studies/015/RAS/anno/OriginalData/RAS_Label_128.png
6.8933 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_129.png,Studies/015/RAS/anno/OriginalData/RAS_Label_129.png
7.9833 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_149.png,Studies/015/RAS/anno/OriginalData/RAS_Label_149.png
8.1783 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_152.png,Studies/015/RAS/anno/OriginalData/RAS_Label_152.png
8.3967 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_156.png,Studies/015/RAS/anno/OriginalData/RAS_Label_156.png
8.4467 sec,Studies/015/RAS/anno/PixelLabelData_2/RAS_Label_157.png,Studies/015/RAS/anno/OriginalData/RAS_Label_157.png
0.155 sec,Studies/012/RPT/anno/PixelLabelData_3/RPT_Label_4.png,Studies/012/RPT/anno/OriginalData/RPT_Label_4.png
